# r-coordinate 	 ur 	 utheta
4.01687e+02 	 -3.84683e-04 	 -2.32944e-06
4.04211e+02 	 -3.76692e-04 	 -2.29274e-06
4.06751e+02 	 -3.68857e-04 	 -2.25675e-06
4.09306e+02 	 -3.61175e-04 	 -2.22144e-06
4.11878e+02 	 -3.53643e-04 	 -2.18679e-06
4.14466e+02 	 -3.46257e-04 	 -2.15280e-06
4.17070e+02 	 -3.39016e-04 	 -2.11943e-06
4.19691e+02 	 -3.31915e-04 	 -2.08667e-06
4.22328e+02 	 -3.24952e-04 	 -2.05451e-06
4.24981e+02 	 -3.18125e-04 	 -2.02293e-06
4.27652e+02 	 -3.11431e-04 	 -1.99192e-06
4.30339e+02 	 -3.04866e-04 	 -1.96145e-06
4.33042e+02 	 -2.98429e-04 	 -1.93153e-06
4.35763e+02 	 -2.92117e-04 	 -1.90212e-06
4.38501e+02 	 -2.85928e-04 	 -1.87322e-06
4.41257e+02 	 -2.79858e-04 	 -1.84482e-06
4.44029e+02 	 -2.73906e-04 	 -1.81690e-06
4.46819e+02 	 -2.68070e-04 	 -1.78945e-06
4.49626e+02 	 -2.62346e-04 	 -1.76246e-06
4.52451e+02 	 -2.56734e-04 	 -1.73591e-06
4.55294e+02 	 -2.51230e-04 	 -1.70980e-06
4.58155e+02 	 -2.45832e-04 	 -1.68410e-06
4.61034e+02 	 -2.40539e-04 	 -1.65882e-06
4.63930e+02 	 -2.35349e-04 	 -1.63394e-06
4.66845e+02 	 -2.30258e-04 	 -1.60945e-06
4.69779e+02 	 -2.25267e-04 	 -1.58534e-06
4.72730e+02 	 -2.20372e-04 	 -1.56160e-06
4.75701e+02 	 -2.15571e-04 	 -1.53823e-06
4.78690e+02 	 -2.10864e-04 	 -1.51520e-06
4.81697e+02 	 -2.06247e-04 	 -1.49252e-06
4.84724e+02 	 -2.01720e-04 	 -1.47017e-06
4.87769e+02 	 -1.97280e-04 	 -1.44815e-06
4.90834e+02 	 -1.92927e-04 	 -1.42645e-06
4.93918e+02 	 -1.88657e-04 	 -1.40505e-06
4.97022e+02 	 -1.84471e-04 	 -1.38396e-06
5.00144e+02 	 -1.80365e-04 	 -1.36317e-06
5.03287e+02 	 -1.76339e-04 	 -1.34266e-06
5.06449e+02 	 -1.72391e-04 	 -1.32243e-06
5.09631e+02 	 -1.68520e-04 	 -1.30248e-06
5.12833e+02 	 -1.64723e-04 	 -1.28279e-06
5.16056e+02 	 -1.61001e-04 	 -1.26336e-06
5.19298e+02 	 -1.57351e-04 	 -1.24420e-06
5.22561e+02 	 -1.53771e-04 	 -1.22527e-06
5.25844e+02 	 -1.50262e-04 	 -1.20660e-06
5.29148e+02 	 -1.46820e-04 	 -1.18816e-06
5.32473e+02 	 -1.43446e-04 	 -1.16995e-06
5.35819e+02 	 -1.40138e-04 	 -1.15197e-06
5.39185e+02 	 -1.36894e-04 	 -1.13422e-06
5.42573e+02 	 -1.33713e-04 	 -1.11668e-06
5.45982e+02 	 -1.30595e-04 	 -1.09935e-06
5.49413e+02 	 -1.27538e-04 	 -1.08223e-06
5.52865e+02 	 -1.24541e-04 	 -1.06532e-06
5.56339e+02 	 -1.21602e-04 	 -1.04861e-06
5.59834e+02 	 -1.18722e-04 	 -1.03209e-06
5.63352e+02 	 -1.15898e-04 	 -1.01577e-06
5.66891e+02 	 -1.13130e-04 	 -9.99637e-07
5.70453e+02 	 -1.10417e-04 	 -9.83688e-07
5.74037e+02 	 -1.07757e-04 	 -9.67921e-07
5.77644e+02 	 -1.05150e-04 	 -9.52334e-07
5.81274e+02 	 -1.02595e-04 	 -9.36922e-07
