# r-coordinate 	 ur 	 utheta
8.25492e+02 	 3.65132e-06 	 -3.17081e-07
8.30678e+02 	 3.49602e-06 	 -3.06777e-07
8.35898e+02 	 3.34743e-06 	 -2.95797e-07
8.41150e+02 	 3.20532e-06 	 -2.84131e-07
8.46435e+02 	 3.06949e-06 	 -2.71769e-07
8.51753e+02 	 2.93973e-06 	 -2.58703e-07
8.57105e+02 	 2.81583e-06 	 -2.44924e-07
8.62490e+02 	 2.69759e-06 	 -2.30424e-07
8.67910e+02 	 2.58483e-06 	 -2.15197e-07
8.73363e+02 	 2.47735e-06 	 -1.99237e-07
8.78850e+02 	 2.37496e-06 	 -1.82537e-07
8.84372e+02 	 2.27749e-06 	 -1.65094e-07
8.89929e+02 	 2.18475e-06 	 -1.46905e-07
8.95521e+02 	 2.09658e-06 	 -1.27966e-07
9.01147e+02 	 2.01281e-06 	 -1.08277e-07
9.06809e+02 	 1.93326e-06 	 -8.78357e-08
9.12507e+02 	 1.85779e-06 	 -6.66441e-08
9.18240e+02 	 1.78623e-06 	 -4.47037e-08
9.24010e+02 	 1.71844e-06 	 -2.20177e-08
9.29816e+02 	 1.65426e-06 	 1.40959e-09
9.35658e+02 	 1.59355e-06 	 2.55725e-08
9.41537e+02 	 1.53617e-06 	 5.04638e-08
9.47453e+02 	 1.48198e-06 	 7.60751e-08
9.53406e+02 	 1.43086e-06 	 1.02396e-07
9.59396e+02 	 1.38267e-06 	 1.29415e-07
9.65424e+02 	 1.33728e-06 	 1.57119e-07
9.71490e+02 	 1.29459e-06 	 1.85494e-07
9.77594e+02 	 1.25446e-06 	 2.14521e-07
9.83736e+02 	 1.21678e-06 	 2.44184e-07
9.89917e+02 	 1.18145e-06 	 2.74461e-07
9.96137e+02 	 1.14835e-06 	 3.05331e-07
1.00240e+03 	 1.11739e-06 	 3.36770e-07
1.00869e+03 	 1.08847e-06 	 3.68752e-07
1.01503e+03 	 1.06148e-06 	 4.01249e-07
1.02141e+03 	 1.03633e-06 	 4.34231e-07
1.02783e+03 	 1.01294e-06 	 4.67665e-07
1.03429e+03 	 9.91220e-07 	 5.01519e-07
1.04078e+03 	 9.71082e-07 	 5.35755e-07
1.04732e+03 	 9.52447e-07 	 5.70335e-07
1.05390e+03 	 9.35240e-07 	 6.05218e-07
1.06053e+03 	 9.19385e-07 	 6.40362e-07
1.06719e+03 	 9.04811e-07 	 6.75721e-07
1.07389e+03 	 8.91451e-07 	 7.11249e-07
1.08064e+03 	 8.79239e-07 	 7.46895e-07
1.08743e+03 	 8.68113e-07 	 7.82607e-07
1.09426e+03 	 8.58012e-07 	 8.18332e-07
1.10114e+03 	 8.48879e-07 	 8.54012e-07
1.10806e+03 	 8.40661e-07 	 8.89590e-07
1.11502e+03 	 8.33305e-07 	 9.25004e-07
1.12203e+03 	 8.26762e-07 	 9.60192e-07
1.12908e+03 	 8.20985e-07 	 9.95087e-07
1.13617e+03 	 8.15929e-07 	 1.02962e-06
1.14331e+03 	 8.11552e-07 	 1.06373e-06
1.15049e+03 	 8.07814e-07 	 1.09734e-06
1.15772e+03 	 8.04677e-07 	 1.13037e-06
1.16500e+03 	 8.02104e-07 	 1.16275e-06
1.17232e+03 	 8.00063e-07 	 1.19440e-06
1.17968e+03 	 7.98520e-07 	 1.22525e-06
1.18709e+03 	 7.97446e-07 	 1.25521e-06
1.19455e+03 	 7.96812e-07 	 1.28420e-06
1.20206e+03 	 7.96591e-07 	 1.31213e-06
1.20961e+03 	 7.96757e-07 	 1.33893e-06
1.21721e+03 	 7.97287e-07 	 1.36450e-06
1.22486e+03 	 7.98158e-07 	 1.38875e-06
1.23256e+03 	 7.99349e-07 	 1.41160e-06
1.24030e+03 	 8.00839e-07 	 1.43296e-06
1.24809e+03 	 8.02608e-07 	 1.45274e-06
1.25594e+03 	 8.04638e-07 	 1.47084e-06
1.26383e+03 	 8.06913e-07 	 1.48717e-06
1.27177e+03 	 8.09413e-07 	 1.50165e-06
1.27976e+03 	 8.12124e-07 	 1.51418e-06
1.28780e+03 	 8.15029e-07 	 1.52467e-06
1.29589e+03 	 8.18112e-07 	 1.53303e-06
1.30403e+03 	 8.21357e-07 	 1.53917e-06
1.31223e+03 	 8.24750e-07 	 1.54301e-06
1.32047e+03 	 8.28273e-07 	 1.54445e-06
1.32877e+03 	 8.31913e-07 	 1.54340e-06
1.33712e+03 	 8.35651e-07 	 1.53980e-06
1.34552e+03 	 8.39472e-07 	 1.53355e-06
1.35397e+03 	 8.43359e-07 	 1.52457e-06
1.36248e+03 	 8.47293e-07 	 1.51279e-06
1.37104e+03 	 8.51255e-07 	 1.49813e-06
1.37965e+03 	 8.55227e-07 	 1.48053e-06
1.38832e+03 	 8.59186e-07 	 1.45992e-06
1.39705e+03 	 8.63112e-07 	 1.43623e-06
1.40582e+03 	 8.66980e-07 	 1.40942e-06
1.41466e+03 	 8.70767e-07 	 1.37942e-06
1.42355e+03 	 8.74447e-07 	 1.34620e-06
1.43249e+03 	 8.77991e-07 	 1.30971e-06
1.44149e+03 	 8.81372e-07 	 1.26992e-06
1.45055e+03 	 8.84557e-07 	 1.22681e-06
1.45966e+03 	 8.87516e-07 	 1.18034e-06
1.46883e+03 	 8.90213e-07 	 1.13052e-06
1.47806e+03 	 8.92614e-07 	 1.07733e-06
1.48735e+03 	 8.94681e-07 	 1.02078e-06
1.49669e+03 	 8.96376e-07 	 9.60898e-07
1.50610e+03 	 8.97656e-07 	 8.97692e-07
1.51556e+03 	 8.98482e-07 	 8.31203e-07
1.52508e+03 	 8.98809e-07 	 7.61477e-07
1.53467e+03 	 8.98593e-07 	 6.88569e-07
1.54431e+03 	 8.97788e-07 	 6.12550e-07
1.55401e+03 	 8.96347e-07 	 5.33501e-07
1.56378e+03 	 8.94222e-07 	 4.51514e-07
1.57360e+03 	 8.91367e-07 	 3.66698e-07
1.58349e+03 	 8.87732e-07 	 2.79172e-07
1.59344e+03 	 8.83269e-07 	 1.89073e-07
1.60345e+03 	 8.77930e-07 	 9.65483e-08
1.61353e+03 	 8.71668e-07 	 1.76293e-09
1.62366e+03 	 8.64436e-07 	 -9.51042e-08
1.63387e+03 	 8.56190e-07 	 -1.93859e-07
1.64413e+03 	 8.46885e-07 	 -2.94291e-07
1.65446e+03 	 8.36482e-07 	 -3.96175e-07
1.66486e+03 	 8.24941e-07 	 -4.99269e-07
1.67532e+03 	 8.12228e-07 	 -6.03318e-07
1.68584e+03 	 7.98311e-07 	 -7.08048e-07
1.69644e+03 	 7.83161e-07 	 -8.13171e-07
1.70710e+03 	 7.66757e-07 	 -9.18385e-07
1.71782e+03 	 7.49079e-07 	 -1.02337e-06
1.72861e+03 	 7.30116e-07 	 -1.12780e-06
1.73948e+03 	 7.09861e-07 	 -1.23132e-06
1.75041e+03 	 6.88315e-07 	 -1.33358e-06
1.76140e+03 	 6.65484e-07 	 -1.43421e-06
1.77247e+03 	 6.41383e-07 	 -1.53282e-06
1.78361e+03 	 6.16034e-07 	 -1.62903e-06
1.79481e+03 	 5.89468e-07 	 -1.72243e-06
1.80609e+03 	 5.61724e-07 	 -1.81263e-06
1.81744e+03 	 5.32848e-07 	 -1.89919e-06
1.82886e+03 	 5.02900e-07 	 -1.98172e-06
1.84035e+03 	 4.71942e-07 	 -2.05980e-06
1.85191e+03 	 4.40052e-07 	 -2.13300e-06
1.86355e+03 	 4.07313e-07 	 -2.20091e-06
1.87526e+03 	 3.73818e-07 	 -2.26312e-06
1.88704e+03 	 3.39669e-07 	 -2.31923e-06
1.89890e+03 	 3.04977e-07 	 -2.36882e-06
1.91083e+03 	 2.69862e-07 	 -2.41145e-06
1.92283e+03 	 2.34451e-07 	 -2.44656e-06
1.93492e+03 	 1.98880e-07 	 -2.47314e-06
1.94707e+03 	 1.63298e-07 	 -2.48875e-06
1.95931e+03 	 1.27878e-07 	 -2.48612e-06
1.97162e+03 	 9.28574e-08 	 -2.44210e-06
1.98401e+03 	 5.86888e-08 	 -2.28068e-06
1.99647e+03 	 2.65382e-08 	 -1.74911e-06
2.00902e+03 	 0.00000e+00 	 0.00000e+00
